iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
3700,0.0867872455517,0.0868819680519,0.0867815867625,1.0,1.0,1.0,1878.65591686
3800,0.0866403829629,0.0867368447411,0.0866388353004,1.0,1.0,1.0,1929.10508977
3900,0.0865268762616,0.0866264273766,0.0865169989843,1.0,1.0,1.0,1979.5756872
4000,0.0864049842665,0.0865109311744,0.0863905474719,1.0,1.0,1.0,2030.04954404
4100,0.0862741235018,0.0863826728506,0.0862587685614,1.0,1.0,1.0,2080.54768389
4200,0.0860619094367,0.086176524375,0.0860463181919,1.0,1.0,1.0,2131.1566243
4300,0.0859133026756,0.0860309299274,0.0859022436317,1.0,1.0,1.0,2181.78569067
4400,0.0857852208336,0.0859111901263,0.0857662158667,1.0,1.0,1.0,2232.40140635
4500,0.0856713900064,0.0857985955406,0.0856479746,1.0,1.0,1.0,2283.07947106
4600,0.0854718985773,0.0856097936726,0.0854461877746,1.0,1.0,1.0,2333.69836882
4700,0.0852338795213,0.0853768039741,0.0852126808105,1.0,1.0,1.0,2384.28317924
4800,0.0850280821745,0.0851868457046,0.0850008438536,1.0,1.0,1.0,2434.92596057
4900,0.0849151994651,0.0850765041247,0.084887366467,1.0,1.0,1.0,2485.604041
5000,0.0847150215997,0.0848836904513,0.0846822199458,1.0,1.0,1.0,2536.24125985
5100,0.0844806606764,0.0846570691968,0.0844491755164,1.0,1.0,1.0,2586.92955306
5200,0.0843696478342,0.0845565630857,0.084341338064,1.0,1.0,1.0,2637.65358777
5239,0.0842850571088,0.0844756353652,0.0842580286584,1.0,1.0,1.0,2657.43475843,optimal
0,0.154463411213,0.154435767143,0.154437102159,1.0,1.0,1.0,0.518604375
100,0.144412654092,0.144388894311,0.144385120813,1.0,1.0,1.0,51.576964372
200,0.128556166786,0.128532477859,0.128523966576,1.0,1.0,1.0,102.425913187
300,0.121627638758,0.121606364557,0.121594380247,1.0,1.0,1.0,153.224374115
400,0.106524876123,0.106509295503,0.106491361294,1.0,1.0,1.0,204.182356512
500,0.10118519125,0.101172315858,0.101149816225,1.0,1.0,1.0,255.112252214
600,0.0981483388498,0.0981384354386,0.0981114135824,1.0,1.0,1.0,305.979249486
700,0.0919495171489,0.091942135304,0.0919102596056,1.0,1.0,1.0,356.77184508
800,0.0914992238115,0.0914932791412,0.0914613149054,1.0,1.0,1.0,407.554067288
900,0.0913352676316,0.0913308323944,0.0912989019577,1.0,1.0,1.0,458.181942466
1000,0.0912446701753,0.0912408416908,0.0912117678786,1.0,1.0,1.0,508.811994041
1100,0.0911463409799,0.0911435533978,0.0911143673262,1.0,1.0,1.0,559.460299567
1200,0.0910605303431,0.0910584902106,0.0910309261034,1.0,1.0,1.0,610.181516389
1300,0.0908841274308,0.0908834798719,0.0908564673129,1.0,1.0,1.0,660.901393617
1400,0.0907323244002,0.0907328039603,0.0907050373335,1.0,1.0,1.0,711.617576383
1500,0.090606921516,0.0906071903123,0.0905796238262,1.0,1.0,1.0,762.333383205
1600,0.0904518752016,0.0904538881134,0.090425070722,1.0,1.0,1.0,813.022884721
1700,0.0903035733607,0.0903068179006,0.0902808422486,1.0,1.0,1.0,863.787107002
1800,0.090157792866,0.0901622671291,0.0901351386867,1.0,1.0,1.0,914.497195557
1900,0.0899782295946,0.0899841614409,0.0899557294284,1.0,1.0,1.0,965.422977256
2000,0.0898458882581,0.0898527529485,0.0898239300787,1.0,1.0,1.0,1016.1049942
2100,0.0897306831272,0.0897384578359,0.0897105952865,1.0,1.0,1.0,1066.66889431
2200,0.0896382016654,0.0896467424949,0.0896191796968,1.0,1.0,1.0,1117.30645319
2300,0.0894216903939,0.0894325913328,0.089409457948,1.0,1.0,1.0,1167.90789343
2400,0.0893187562343,0.0893301275039,0.0893058955493,1.0,1.0,1.0,1218.4730794
2500,0.0892026251945,0.0892152033867,0.0891938213049,1.0,1.0,1.0,1269.03009116
2600,0.0890722941067,0.089085120744,0.0890624737776,1.0,1.0,1.0,1319.64510797
2700,0.0887889404507,0.0888047870033,0.0887816936311,1.0,1.0,1.0,1370.60980903
2800,0.0884310698901,0.0884554469942,0.0884305537529,1.0,1.0,1.0,1421.26427648
2900,0.088310064929,0.0883352948988,0.088308448172,1.0,1.0,1.0,1472.04560817
3000,0.0880978578051,0.0881275898972,0.0880925810309,1.0,1.0,1.0,1522.87558637
3100,0.087975648353,0.088008155861,0.0879736712278,1.0,1.0,1.0,1573.77230625
3200,0.0877100784145,0.0877450498017,0.0877097005884,1.0,1.0,1.0,1624.63549076
